ncessch,school_name,school_year,year_start,enrollment,is_interpolated,include
090192000355,Batchelder School,2019-20,2019,,False,True
090192000355,Batchelder School,2020-21,2020,,False,True
090192000355,Batchelder School,2021-22,2021,,False,True
090192000355,Batchelder School,2022-23,2022,,False,True
090192000355,Batchelder School,2023-24,2023,,False,True
090192000355,Batchelder School,2024-25,2024,,False,True
090192001192,Betances Learning Lab Magnet School,1986-87,1986,498.0,False,True
090192001192,Betances Learning Lab Magnet School,1987-88,1987,551.0,False,True
090192001192,Betances Learning Lab Magnet School,1988-89,1988,535.0,False,True
090192001192,Betances Learning Lab Magnet School,1989-90,1989,567.0,False,True
090192001192,Betances Learning Lab Magnet School,1990-91,1990,583.0,False,True
090192001192,Betances Learning Lab Magnet School,1991-92,1991,581.0,False,True
090192001192,Betances Learning Lab Magnet School,1992-93,1992,507.0,False,True
090192001192,Betances Learning Lab Magnet School,1993-94,1993,527.0,False,True
090192001192,Betances Learning Lab Magnet School,1994-95,1994,454.0,False,True
090192001192,Betances Learning Lab Magnet School,1995-96,1995,423.0,False,True
090192001192,Betances Learning Lab Magnet School,1996-97,1996,426.0,False,True
090192001192,Betances Learning Lab Magnet School,1997-98,1997,473.0,False,True
090192001192,Betances Learning Lab Magnet School,1998-99,1998,434.0,False,True
090192001192,Betances Learning Lab Magnet School,1999-00,1999,412.0,False,True
090192001192,Betances Learning Lab Magnet School,2000-01,2000,389.0,False,True
090192001192,Betances Learning Lab Magnet School,2001-02,2001,376.0,False,True
090192001192,Betances Learning Lab Magnet School,2002-03,2002,409.0,False,True
090192001192,Betances Learning Lab Magnet School,2003-04,2003,431.0,False,True
090192001192,Betances Learning Lab Magnet School,2004-05,2004,441.0,False,True
090192001192,Betances Learning Lab Magnet School,2005-06,2005,438.0,False,True
090192001192,Betances Learning Lab Magnet School,2006-07,2006,395.0,False,True
090192001192,Betances Learning Lab Magnet School,2007-08,2007,403.0,False,True
090192001192,Betances Learning Lab Magnet School,2008-09,2008,439.0,False,True
090192001192,Betances Learning Lab Magnet School,2009-10,2009,345.0,False,True
090192001192,Betances Learning Lab Magnet School,2010-11,2010,311.0,False,True
090192001192,Betances Learning Lab Magnet School,2011-12,2011,315.0,False,True
090192001192,Betances Learning Lab Magnet School,2012-13,2012,323.0,False,True
090192001192,Betances Learning Lab Magnet School,2013-14,2013,278.0,False,True
090192001192,Betances Learning Lab Magnet School,2014-15,2014,288.0,False,True
090192001192,Betances Learning Lab Magnet School,2015-16,2015,279.0,False,True
090192001192,Betances Learning Lab Magnet School,2016-17,2016,300.0,False,True
090192001192,Betances Learning Lab Magnet School,2017-18,2017,384.0,False,True
090192001192,Betances Learning Lab Magnet School,2018-19,2018,391.0,False,True
090192001192,Betances Learning Lab Magnet School,2019-20,2019,411.0,False,True
090192001192,Betances Learning Lab Magnet School,2020-21,2020,438.0,False,True
090192001192,Betances Learning Lab Magnet School,2021-22,2021,394.0,False,True
090192001192,Betances Learning Lab Magnet School,2022-23,2022,394.0,False,True
090192001192,Betances Learning Lab Magnet School,2023-24,2023,411.0,False,True
090192001192,Betances Learning Lab Magnet School,2024-25,2024,398.0,False,True
090192001616,Betances Stem Magnet School,1986-87,1986,,False,False
090192001616,Betances Stem Magnet School,1987-88,1987,,False,False
090192001616,Betances Stem Magnet School,1988-89,1988,,False,False
090192001616,Betances Stem Magnet School,1989-90,1989,,False,False
090192001616,Betances Stem Magnet School,1990-91,1990,,False,False
090192001616,Betances Stem Magnet School,1991-92,1991,,False,False
090192001616,Betances Stem Magnet School,1992-93,1992,,False,False
090192001616,Betances Stem Magnet School,1993-94,1993,,False,False
090192001616,Betances Stem Magnet School,1994-95,1994,,False,False
090192001616,Betances Stem Magnet School,1995-96,1995,,False,False
090192001616,Betances Stem Magnet School,1996-97,1996,,False,False
090192001616,Betances Stem Magnet School,1997-98,1997,,False,False
090192001616,Betances Stem Magnet School,1998-99,1998,,False,False
090192001616,Betances Stem Magnet School,1999-00,1999,,False,False
090192001616,Betances Stem Magnet School,2000-01,2000,,False,False
090192001616,Betances Stem Magnet School,2001-02,2001,,False,False
090192001616,Betances Stem Magnet School,2002-03,2002,,False,False
090192001616,Betances Stem Magnet School,2003-04,2003,,False,False
090192001616,Betances Stem Magnet School,2004-05,2004,,False,False
090192001616,Betances Stem Magnet School,2005-06,2005,,False,False
090192001616,Betances Stem Magnet School,2006-07,2006,,False,False
090192001616,Betances Stem Magnet School,2007-08,2007,,False,False
090192001616,Betances Stem Magnet School,2008-09,2008,,False,False
090192001616,Betances Stem Magnet School,2009-10,2009,,False,False
090192001616,Betances Stem Magnet School,2010-11,2010,,False,False
090192001616,Betances Stem Magnet School,2011-12,2011,,False,False
090192001616,Betances Stem Magnet School,2012-13,2012,87.0,False,False
090192001616,Betances Stem Magnet School,2013-14,2013,173.0,False,False
090192001616,Betances Stem Magnet School,2014-15,2014,253.0,False,False
090192001616,Betances Stem Magnet School,2015-16,2015,309.0,False,False
090192001616,Betances Stem Magnet School,2016-17,2016,375.0,False,False
090192001616,Betances Stem Magnet School,2017-18,2017,288.0,False,False
090192001616,Betances Stem Magnet School,2018-19,2018,307.0,False,False
090192001616,Betances Stem Magnet School,2019-20,2019,253.0,False,False
090192001616,Betances Stem Magnet School,2020-21,2020,229.0,False,False
090192001616,Betances Stem Magnet School,2021-22,2021,227.0,False,False
090192001616,Betances Stem Magnet School,2022-23,2022,210.0,False,False
090192001616,Betances Stem Magnet School,2023-24,2023,212.0,False,False
090192001616,Betances Stem Magnet School,2024-25,2024,206.0,False,False
090192001534,Breakthrough Magnet School North,1986-87,1986,,False,False
090192001534,Breakthrough Magnet School North,1987-88,1987,,False,False
090192001534,Breakthrough Magnet School North,1988-89,1988,,False,False
090192001534,Breakthrough Magnet School North,1989-90,1989,,False,False
090192001534,Breakthrough Magnet School North,1990-91,1990,,False,False
090192001534,Breakthrough Magnet School North,1991-92,1991,,False,False
090192001534,Breakthrough Magnet School North,1992-93,1992,,False,False
090192001534,Breakthrough Magnet School North,1993-94,1993,,False,False
090192001534,Breakthrough Magnet School North,1994-95,1994,,False,False
090192001534,Breakthrough Magnet School North,1995-96,1995,,False,False
090192001534,Breakthrough Magnet School North,1996-97,1996,,False,False
090192001534,Breakthrough Magnet School North,1997-98,1997,,False,False
090192001534,Breakthrough Magnet School North,1998-99,1998,,False,False
090192001534,Breakthrough Magnet School North,1999-00,1999,,False,False
090192001534,Breakthrough Magnet School North,2000-01,2000,,False,False
090192001534,Breakthrough Magnet School North,2001-02,2001,,False,False
090192001534,Breakthrough Magnet School North,2002-03,2002,,False,False
090192001534,Breakthrough Magnet School North,2003-04,2003,,False,False
090192001534,Breakthrough Magnet School North,2004-05,2004,,False,False
090192001534,Breakthrough Magnet School North,2005-06,2005,,False,False
090192001534,Breakthrough Magnet School North,2006-07,2006,,False,False
090192001534,Breakthrough Magnet School North,2007-08,2007,,False,False
090192001534,Breakthrough Magnet School North,2008-09,2008,102.0,False,False
090192001534,Breakthrough Magnet School North,2009-10,2009,129.0,False,False
090192001534,Breakthrough Magnet School North,2010-11,2010,143.0,False,False
090192001534,Breakthrough Magnet School North,2011-12,2011,171.0,False,False
090192001534,Breakthrough Magnet School North,2012-13,2012,222.0,False,False
090192001534,Breakthrough Magnet School North,2013-14,2013,252.0,False,False
090192001534,Breakthrough Magnet School North,2014-15,2014,294.0,False,False
090192001534,Breakthrough Magnet School North,2015-16,2015,280.0,False,False
090192001534,Breakthrough Magnet School North,2016-17,2016,266.0,False,False
090192001534,Breakthrough Magnet School North,2017-18,2017,290.0,False,False
090192001534,Breakthrough Magnet School North,2018-19,2018,296.0,False,False
090192001534,Breakthrough Magnet School North,2019-20,2019,325.0,False,False
090192001534,Breakthrough Magnet School North,2020-21,2020,344.0,False,False
090192001534,Breakthrough Magnet School North,2021-22,2021,336.0,False,False
090192001534,Breakthrough Magnet School North,2022-23,2022,327.0,False,False
090192001534,Breakthrough Magnet School North,2023-24,2023,318.0,False,False
090192001534,Breakthrough Magnet School North,2024-25,2024,289.0,False,False
090192001369,Breakthrough Magnet School South,1986-87,1986,,False,False
090192001369,Breakthrough Magnet School South,1987-88,1987,,False,False
090192001369,Breakthrough Magnet School South,1988-89,1988,,False,False
090192001369,Breakthrough Magnet School South,1989-90,1989,,False,False
090192001369,Breakthrough Magnet School South,1990-91,1990,,False,False
090192001369,Breakthrough Magnet School South,1991-92,1991,,False,False
090192001369,Breakthrough Magnet School South,1992-93,1992,,False,False
090192001369,Breakthrough Magnet School South,1993-94,1993,,False,False
090192001369,Breakthrough Magnet School South,1994-95,1994,,False,False
090192001369,Breakthrough Magnet School South,1995-96,1995,,False,False
090192001369,Breakthrough Magnet School South,1996-97,1996,,False,False
090192001369,Breakthrough Magnet School South,1997-98,1997,,False,False
090192001369,Breakthrough Magnet School South,1998-99,1998,,False,False
090192001369,Breakthrough Magnet School South,1999-00,1999,,False,False
090192001369,Breakthrough Magnet School South,2000-01,2000,,False,False
090192001369,Breakthrough Magnet School South,2001-02,2001,,False,False
090192001369,Breakthrough Magnet School South,2002-03,2002,192.0,False,False
090192001369,Breakthrough Magnet School South,2003-04,2003,205.0,False,False
090192001369,Breakthrough Magnet School South,2004-05,2004,208.0,False,False
090192001369,Breakthrough Magnet School South,2005-06,2005,226.0,False,False
090192001369,Breakthrough Magnet School South,2006-07,2006,306.0,False,False
090192001369,Breakthrough Magnet School South,2007-08,2007,320.0,False,False
090192001369,Breakthrough Magnet School South,2008-09,2008,342.0,False,False
090192001369,Breakthrough Magnet School South,2009-10,2009,352.0,False,False
090192001369,Breakthrough Magnet School South,2010-11,2010,352.0,False,False
090192001369,Breakthrough Magnet School South,2011-12,2011,355.0,False,False
090192001369,Breakthrough Magnet School South,2012-13,2012,355.0,False,False
090192001369,Breakthrough Magnet School South,2013-14,2013,361.0,False,False
090192001369,Breakthrough Magnet School South,2014-15,2014,357.0,False,False
090192001369,Breakthrough Magnet School South,2015-16,2015,355.0,False,False
090192001369,Breakthrough Magnet School South,2016-17,2016,360.0,False,False
090192001369,Breakthrough Magnet School South,2017-18,2017,358.0,False,False
090192001369,Breakthrough Magnet School South,2018-19,2018,350.0,False,False
090192001369,Breakthrough Magnet School South,2019-20,2019,327.0,False,False
090192001369,Breakthrough Magnet School South,2020-21,2020,341.0,False,False
090192001369,Breakthrough Magnet School South,2021-22,2021,339.0,False,False
090192001369,Breakthrough Magnet School South,2022-23,2022,343.0,False,False
090192001369,Breakthrough Magnet School South,2023-24,2023,322.0,False,False
090192001369,Breakthrough Magnet School South,2024-25,2024,326.0,False,False
090192001572,Bulkeley High School,1986-87,1986,,False,False
090192001572,Bulkeley High School,1987-88,1987,,False,False
090192001572,Bulkeley High School,1988-89,1988,,False,False
090192001572,Bulkeley High School,1989-90,1989,,False,False
090192001572,Bulkeley High School,1990-91,1990,,False,False
090192001572,Bulkeley High School,1991-92,1991,,False,False
090192001572,Bulkeley High School,1992-93,1992,,False,False
090192001572,Bulkeley High School,1993-94,1993,,False,False
090192001572,Bulkeley High School,1994-95,1994,,False,False
090192001572,Bulkeley High School,1995-96,1995,,False,False
090192001572,Bulkeley High School,1996-97,1996,,False,False
090192001572,Bulkeley High School,1997-98,1997,,False,False
090192001572,Bulkeley High School,1998-99,1998,,False,False
090192001572,Bulkeley High School,1999-00,1999,,False,False
090192001572,Bulkeley High School,2000-01,2000,,False,False
090192001572,Bulkeley High School,2001-02,2001,,False,False
090192001572,Bulkeley High School,2002-03,2002,,False,False
090192001572,Bulkeley High School,2003-04,2003,,False,False
090192001572,Bulkeley High School,2004-05,2004,,False,False
090192001572,Bulkeley High School,2005-06,2005,,False,False
090192001572,Bulkeley High School,2006-07,2006,,False,False
090192001572,Bulkeley High School,2007-08,2007,,False,False
090192001572,Bulkeley High School,2008-09,2008,,False,False
090192001572,Bulkeley High School,2009-10,2009,571.0,False,False
090192001572,Bulkeley High School,2010-11,2010,500.0,False,False
090192001572,Bulkeley High School,2011-12,2011,399.0,False,False
090192001572,Bulkeley High School,2012-13,2012,408.0,False,False
090192001572,Bulkeley High School,2013-14,2013,378.0,False,False
090192001572,Bulkeley High School,2014-15,2014,373.0,False,False
090192001572,Bulkeley High School,2015-16,2015,379.0,False,False
090192001572,Bulkeley High School,2016-17,2016,688.0,False,False
090192001572,Bulkeley High School,2017-18,2017,631.0,False,False
090192001572,Bulkeley High School,2018-19,2018,680.0,False,False
090192001572,Bulkeley High School,2019-20,2019,562.0,False,False
090192001572,Bulkeley High School,2020-21,2020,592.0,False,False
090192001572,Bulkeley High School,2021-22,2021,616.0,False,False
090192001572,Bulkeley High School,2022-23,2022,548.0,False,False
090192001572,Bulkeley High School,2023-24,2023,592.0,False,False
090192001572,Bulkeley High School,2024-25,2024,552.0,False,False
090192000356,Bulkeley High School Lower School,1986-87,1986,1649.0,False,True
090192000356,Bulkeley High School Lower School,1987-88,1987,1534.0,False,True
090192000356,Bulkeley High School Lower School,1988-89,1988,1555.0,False,True
090192000356,Bulkeley High School Lower School,1989-90,1989,1505.0,False,True
090192000356,Bulkeley High School Lower School,1990-91,1990,1624.0,False,True
090192000356,Bulkeley High School Lower School,1991-92,1991,1728.0,False,True
090192000356,Bulkeley High School Lower School,1992-93,1992,1759.0,False,True
090192000356,Bulkeley High School Lower School,1993-94,1993,1861.0,False,True
090192000356,Bulkeley High School Lower School,1994-95,1994,1744.0,False,True
090192000356,Bulkeley High School Lower School,1995-96,1995,1596.0,False,True
090192000356,Bulkeley High School Lower School,1996-97,1996,1490.0,False,True
090192000356,Bulkeley High School Lower School,1997-98,1997,1517.0,False,True
090192000356,Bulkeley High School Lower School,1998-99,1998,1396.0,False,True
090192000356,Bulkeley High School Lower School,1999-00,1999,1556.0,False,True
090192000356,Bulkeley High School Lower School,2000-01,2000,1738.0,False,True
090192000356,Bulkeley High School Lower School,2001-02,2001,1834.0,False,True
090192000356,Bulkeley High School Lower School,2002-03,2002,1751.0,False,True
090192000356,Bulkeley High School Lower School,2003-04,2003,1673.0,False,True
090192000356,Bulkeley High School Lower School,2004-05,2004,1633.0,False,True
090192000356,Bulkeley High School Lower School,2005-06,2005,1230.0,False,True
090192000356,Bulkeley High School Lower School,2006-07,2006,1445.0,False,True
090192000356,Bulkeley High School Lower School,2007-08,2007,1484.0,False,True
090192000356,Bulkeley High School Lower School,2008-09,2008,1387.0,False,True
090192000356,Bulkeley High School Lower School,2009-10,2009,767.0,False,True
090192000356,Bulkeley High School Lower School,2010-11,2010,675.0,False,True
090192000356,Bulkeley High School Lower School,2011-12,2011,634.0,False,True
090192000356,Bulkeley High School Lower School,2012-13,2012,586.0,False,True
090192000356,Bulkeley High School Lower School,2013-14,2013,493.0,False,True
090192000356,Bulkeley High School Lower School,2014-15,2014,489.0,False,True
090192000356,Bulkeley High School Lower School,2015-16,2015,412.0,False,True
090192000356,Bulkeley High School Lower School,2016-17,2016,,False,True
090192000356,Bulkeley High School Lower School,2017-18,2017,,False,True
090192000356,Bulkeley High School Lower School,2018-19,2018,,False,True
090192000356,Bulkeley High School Lower School,2019-20,2019,,False,True
090192000356,Bulkeley High School Lower School,2020-21,2020,,False,True
090192000356,Bulkeley High School Lower School,2021-22,2021,,False,True
090192000356,Bulkeley High School Lower School,2022-23,2022,,False,True
090192000356,Bulkeley High School Lower School,2023-24,2023,,False,True
090192000356,Bulkeley High School Lower School,2024-25,2024,,False,True
090192000357,Burns Latino Studies Academy,1986-87,1986,929.0,False,True
090192000357,Burns Latino Studies Academy,1987-88,1987,997.0,False,True
090192000357,Burns Latino Studies Academy,1988-89,1988,1006.0,False,True
090192000357,Burns Latino Studies Academy,1989-90,1989,990.0,False,True
090192000357,Burns Latino Studies Academy,1990-91,1990,1089.0,False,True
090192000357,Burns Latino Studies Academy,1991-92,1991,1072.0,False,True
090192000357,Burns Latino Studies Academy,1992-93,1992,765.0,False,True
090192000357,Burns Latino Studies Academy,1993-94,1993,669.0,False,True
090192000357,Burns Latino Studies Academy,1994-95,1994,679.0,False,True
090192000357,Burns Latino Studies Academy,1995-96,1995,737.0,False,True
090192000357,Burns Latino Studies Academy,1996-97,1996,706.0,False,True
090192000357,Burns Latino Studies Academy,1997-98,1997,745.0,False,True
090192000357,Burns Latino Studies Academy,1998-99,1998,666.0,False,True
090192000357,Burns Latino Studies Academy,1999-00,1999,668.0,False,True
090192000357,Burns Latino Studies Academy,2000-01,2000,691.0,False,True
090192000357,Burns Latino Studies Academy,2001-02,2001,696.0,False,True
090192000357,Burns Latino Studies Academy,2002-03,2002,662.0,False,True
090192000357,Burns Latino Studies Academy,2003-04,2003,629.0,False,True
090192000357,Burns Latino Studies Academy,2004-05,2004,618.0,False,True
090192000357,Burns Latino Studies Academy,2005-06,2005,701.0,False,True
090192000357,Burns Latino Studies Academy,2006-07,2006,511.0,False,True
