ncessch,school_name,school_year,year_start,enrollment,is_interpolated
090192000357,Burns Latino Studies Academy,2000-01,2000,691.0,False
090192000357,Burns Latino Studies Academy,2001-02,2001,696.0,False
090192000357,Burns Latino Studies Academy,2002-03,2002,662.0,False
090192000357,Burns Latino Studies Academy,2003-04,2003,629.0,False
090192000357,Burns Latino Studies Academy,2004-05,2004,618.0,False
090192000357,Burns Latino Studies Academy,2005-06,2005,701.0,False
090192000357,Burns Latino Studies Academy,2006-07,2006,511.0,False
090192000357,Burns Latino Studies Academy,2007-08,2007,533.0,False
090192000357,Burns Latino Studies Academy,2008-09,2008,534.0,False
090192000357,Burns Latino Studies Academy,2009-10,2009,584.0,False
090192000357,Burns Latino Studies Academy,2010-11,2010,666.0,False
090192000357,Burns Latino Studies Academy,2011-12,2011,598.0,False
090192000357,Burns Latino Studies Academy,2012-13,2012,598.0,False
090192000357,Burns Latino Studies Academy,2013-14,2013,541.0,False
090192000357,Burns Latino Studies Academy,2014-15,2014,581.0,False
090192000357,Burns Latino Studies Academy,2015-16,2015,520.0,False
090192000357,Burns Latino Studies Academy,2016-17,2016,496.0,False
090192000357,Burns Latino Studies Academy,2017-18,2017,439.0,False
090192000357,Burns Latino Studies Academy,2018-19,2018,467.0,False
090192000357,Burns Latino Studies Academy,2019-20,2019,272.0,False
090192000357,Burns Latino Studies Academy,2020-21,2020,241.0,False
090192000357,Burns Latino Studies Academy,2021-22,2021,232.0,False
090192000357,Burns Latino Studies Academy,2022-23,2022,224.0,False
090192000357,Burns Latino Studies Academy,2023-24,2023,228.0,False
090192000357,Burns Latino Studies Academy,2024-25,2024,251.0,False
090192000358,Burr Middle School,1986-87,1986,565.0,False
090192000358,Burr Middle School,1987-88,1987,577.0,False
090192000358,Burr Middle School,1988-89,1988,564.0,False
090192000358,Burr Middle School,1989-90,1989,591.0,False
090192000358,Burr Middle School,1990-91,1990,586.0,False
090192000358,Burr Middle School,1991-92,1991,652.0,False
090192000358,Burr Middle School,1992-93,1992,700.0,False
090192000358,Burr Middle School,1993-94,1993,701.0,False
090192000358,Burr Middle School,1994-95,1994,622.0,False
090192000358,Burr Middle School,1995-96,1995,630.0,False
090192000358,Burr Middle School,1996-97,1996,611.0,False
090192000358,Burr Middle School,1997-98,1997,639.0,False
090192000358,Burr Middle School,1998-99,1998,657.0,False
090192000358,Burr Middle School,1999-00,1999,745.0,False
090192000358,Burr Middle School,2000-01,2000,692.0,False
090192000358,Burr Middle School,2001-02,2001,729.0,False
090192000358,Burr Middle School,2002-03,2002,549.0,False
090192000358,Burr Middle School,2003-04,2003,511.0,False
090192000358,Burr Middle School,2004-05,2004,460.0,False
090192000358,Burr Middle School,2005-06,2005,475.0,False
090192000358,Burr Middle School,2006-07,2006,513.0,False
090192000358,Burr Middle School,2007-08,2007,537.0,False
090192000358,Burr Middle School,2008-09,2008,520.0,False
090192000358,Burr Middle School,2009-10,2009,625.0,False
090192000358,Burr Middle School,2010-11,2010,707.0,False
090192000358,Burr Middle School,2011-12,2011,810.0,False
090192000358,Burr Middle School,2012-13,2012,729.0,False
090192000358,Burr Middle School,2013-14,2013,708.0,False
090192000358,Burr Middle School,2014-15,2014,685.0,False
090192000358,Burr Middle School,2015-16,2015,590.0,False
090192000358,Burr Middle School,2016-17,2016,616.0,False
090192000358,Burr Middle School,2017-18,2017,542.0,False
090192000358,Burr Middle School,2018-19,2018,546.0,False
090192000358,Burr Middle School,2019-20,2019,579.0,False
090192000358,Burr Middle School,2020-21,2020,324.0,False
090192000358,Burr Middle School,2021-22,2021,308.0,False
090192000358,Burr Middle School,2022-23,2022,277.0,False
090192000358,Burr Middle School,2023-24,2023,307.0,False
090192000358,Burr Middle School,2024-25,2024,259.0,False
090192000359,Clark School,1986-87,1986,688.0,False
090192000359,Clark School,1987-88,1987,705.0,False
090192000359,Clark School,1988-89,1988,723.0,False
090192000359,Clark School,1989-90,1989,714.0,False
090192000359,Clark School,1990-91,1990,768.0,False
090192000359,Clark School,1991-92,1991,750.0,False
090192000359,Clark School,1992-93,1992,685.0,False
090192000359,Clark School,1993-94,1993,663.0,False
090192000359,Clark School,1994-95,1994,644.0,False
090192000359,Clark School,1995-96,1995,628.0,False
090192000359,Clark School,1996-97,1996,629.0,False
090192000359,Clark School,1997-98,1997,600.0,False
090192000359,Clark School,1998-99,1998,592.0,False
090192000359,Clark School,1999-00,1999,605.0,False
090192000359,Clark School,2000-01,2000,492.0,False
090192000359,Clark School,2001-02,2001,431.0,False
090192000359,Clark School,2002-03,2002,418.0,False
090192000359,Clark School,2003-04,2003,422.0,False
090192000359,Clark School,2004-05,2004,390.0,False
090192000359,Clark School,2005-06,2005,436.0,False
090192000359,Clark School,2006-07,2006,397.0,False
090192000359,Clark School,2007-08,2007,442.0,False
090192000359,Clark School,2008-09,2008,466.0,False
090192000359,Clark School,2009-10,2009,416.0,False
090192000359,Clark School,2010-11,2010,384.0,False
090192000359,Clark School,2011-12,2011,397.0,False
090192000359,Clark School,2012-13,2012,379.0,False
090192000359,Clark School,2013-14,2013,369.0,False
090192000359,Clark School,2014-15,2014,335.0,False
090192000359,Clark School,2015-16,2015,246.0,False
090192000359,Clark School,2016-17,2016,,False
090192000359,Clark School,2017-18,2017,,False
090192000359,Clark School,2018-19,2018,,False
090192000359,Clark School,2019-20,2019,,False
090192000359,Clark School,2020-21,2020,,False
090192000359,Clark School,2021-22,2021,,False
090192000359,Clark School,2022-23,2022,,False
090192000359,Clark School,2023-24,2023,,False
090192000359,Clark School,2024-25,2024,,False
090192000360,Dwight-Bellizzi Dual Language Academy,1986-87,1986,361.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1987-88,1987,365.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1988-89,1988,382.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1989-90,1989,413.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1990-91,1990,409.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1991-92,1991,468.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1992-93,1992,452.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1993-94,1993,498.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1994-95,1994,468.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1995-96,1995,529.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1996-97,1996,570.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1997-98,1997,537.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1998-99,1998,585.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,1999-00,1999,534.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2000-01,2000,570.0,False
