year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment,magnet
"2023","090192000385","Wish Museum School","CT","Hartford School District","Primary","Regular school","No","299",""
"2022","090192001192","Betances Learning Lab Magnet School","CT","Hartford School District","Primary","Regular school","No","394",""
"2022","090192001616","Betances STEM Magnet School","CT","Hartford School District","Middle","Regular school","No","210",""
"2022","090192001534","Breakthrough Magnet School North","CT","Hartford School District","Primary","Regular school","No","327",""
"2022","090192001369","Breakthrough Magnet School South","CT","Hartford School District","Primary","Regular school","No","343",""
"2022","090192001572","Bulkeley High School","CT","Hartford School District","High","Regular school","No","548",""
"2022","090192000357","Burns Latino Studies Academy","CT","Hartford School District","Primary","Regular school","No","224",""
"2022","090192000358","Burr Middle School","CT","Hartford School District","Middle","Regular school","No","277",""
"2022","090192001435","Capital Preparatory Magnet School","CT","Hartford School District","Other","Regular school","No","584",""
"2022","090192001478","Classical Magnet School","CT","Hartford School District","High","Regular school","No","445",""
"2022","090192000360","Dwight-Bellizzi Dual Language Academy","CT","Hartford School District","Primary","Regular school","No","626",""
"2022","090192000366","Environmental Sciences Magnet at Hooker School","CT","Hartford School District","Primary","Regular school","No","556",""
"2022","090192000636","Expeditionary Learning Academy at Moylan School","CT","Hartford School District","Primary","Regular school","No","360",""
"2022","090192001535","Global Communications Academy","CT","Hartford School District","Primary","Regular school","No","444",""
"2022","090192001403","Great Path Academy at MCC","CT","Hartford School District","High","Regular school","No","313",""
"2022","090192001295","Hartford Magnet Trinity College Academy","CT","Hartford School District","High","Regular school","No","963",""
"2022","090192001643","Hartford PreKindergarten Magnet School: North Campus","CT","Hartford School District","Prekindergarten","Regular school","No","80",""
"2022","090192011231","Hartford PreKindergarten Magnet School: South Campus","CT","Hartford School District","Prekindergarten","Regular school","No","114",""
"2022","090192001925","Hartford Public High School","CT","Hartford School District","High","Regular school","No","709",""
"2022","090192000368","Kennelly School","CT","Hartford School District","Primary","Regular school","No","598",""
"2022","090192011232","Kinsella Magnet School of Performing Arts: High School Campu","CT","Hartford School District","High","Regular school","No","140",""
"2022","090192000370","Kinsella Magnet School of Performing Arts: PK-8 Campus","CT","Hartford School District","Primary","Regular school","No","465",""
"2022","090192000364","M. D. Fox School","CT","Hartford School District","Primary","Regular school","No","493",""
"2022","090192000369","M. L. King Jr. Middle School","CT","Hartford School District","Middle","Regular school","No","203",""
"2022","090192000371","McDonough Middle School","CT","Hartford School District","Middle","Regular school","No","317",""
"2022","090192000381","Milner Middle School","CT","Hartford School District","Middle","Regular school","No","284",""
"2022","090192001641","Montessori Magnet at Batchelder School","CT","Hartford School District","Primary","Regular school","No","363",""
"2022","090192001531","Montessori Magnet at Fisher School","CT","Hartford School District","Primary","Regular school","No","343",""
"2022","090192000372","Naylor/CCSU Leadership Academy","CT","Hartford School District","Primary","Regular school","No","357",""
"2022","090192000373","Parkville Community School","CT","Hartford School District","Primary","Regular school","No","396",""
"2022","090192001479","Pathways Academy of Technology and Design","CT","Hartford School District","High","Regular school","No","389",""
"2022","090192000376","Rawson School","CT","Hartford School District","Primary","Regular school","No","231",""
"2022","090192001582","Renzulli Gifted and Talented Academy","CT","Hartford School District","Middle","Regular school","No","119",""
"2022","090192000026","Sanchez School","CT","Hartford School District","Primary","Regular school","No","322",""
"2022","090192000377","SAND School","CT","Hartford School District","Primary","Regular school","No","286",""
"2022","090192001370","Sport and Medical Sciences Academy","CT","Hartford School District","High","Regular school","No","530",""
"2022","090192000362","STEM Magnet at Annie Fisher School","CT","Hartford School District","Primary","Regular school","No","344",""
"2022","090192001381","University High School of Science and Engineering","CT","Hartford School District","High","Regular school","No","412",""
"2022","090192001939","Weaver High School","CT","Hartford School District","High","Regular school","No","643",""
"2022","090192000383","Webster Micro Society Magnet School","CT","Hartford School District","Primary","Regular school","No","615",""
"2022","090192000384","West Middle School","CT","Hartford School District","Primary","Regular school","No","293",""
"2022","090192000385","Wish Museum School","CT","Hartford School District","Primary","Regular school","No","291",""
"2021","090192001192","Betances Learning Lab Magnet School","CT","Hartford School District","Primary","Regular school","No","394","Yes"
"2021","090192001616","Betances STEM Magnet School","CT","Hartford School District","Middle","Regular school","No","227","Yes"
"2021","090192001534","Breakthrough Magnet School North","CT","Hartford School District","Primary","Regular school","No","336","Yes"
"2021","090192001369","Breakthrough Magnet School South","CT","Hartford School District","Primary","Regular school","No","339","Yes"
"2021","090192001572","Bulkeley High School","CT","Hartford School District","High","Regular school","No","616","No"
"2021","090192000357","Burns Latino Studies Academy","CT","Hartford School District","Primary","Regular school","No","232","No"
"2021","090192000358","Burr Middle School","CT","Hartford School District","Middle","Regular school","No","308","No"
"2021","090192001435","Capital Preparatory Magnet School","CT","Hartford School District","Other","Regular school","No","647","Yes"
"2021","090192001478","Classical Magnet School","CT","Hartford School District","High","Regular school","No","452","Yes"
"2021","090192000360","Dwight-Bellizzi Dual Language Academy","CT","Hartford School District","Primary","Regular school","No","594","No"
"2021","090192000366","Environmental Sciences Magnet at Hooker School","CT","Hartford School District","Primary","Regular school","No","552","Yes"
"2021","090192000636","Expeditionary Learning Academy at Moylan School","CT","Hartford School District","Primary","Regular school","No","363","No"
"2021","090192001535","Global Communications Academy","CT","Hartford School District","Primary","Regular school","No","431","No"
"2021","090192001403","Great Path Academy at MCC","CT","Hartford School District","High","Regular school","No","310","Yes"
"2021","090192001295","Hartford Magnet Trinity College Academy","CT","Hartford School District","High","Regular school","No","979","Yes"
"2021","090192001643","Hartford PreKindergarten Magnet School","CT","Hartford School District","Prekindergarten","Regular school","No","189","Yes"
"2021","090192001925","Hartford Public High School","CT","Hartford School District","High","Regular school","No","770","No"
"2021","090192000368","Kennelly School","CT","Hartford School District","Primary","Regular school","No","579","No"
"2021","090192000370","Kinsella Magnet School of Performing Arts","CT","Hartford School District","Other","Regular school","No","652","Yes"
